,label
2645,2
727,0
2134,2
2314,3
792,2
2740,3
2536,1
814,3
312,1
203,2
2771,1
2264,2
1753,2
77,1
1499,2
1941,2
2633,2
1928,0
2622,2
1464,0
2129,0
878,2
251,2
966,3
1042,1
2734,2
1868,3
2441,0
2557,1
2135,3
4,1
955,3
2157,0
622,0
1050,1
1553,2
1843,3
674,0
593,2
2065,0
1701,1
354,3
697,3
156,2
2161,2
1523,2
7,0
1910,0
1902,0
653,3
437,2
2492,1
946,2
229,1
1900,2
2634,1
1022,2
437,1
2144,0
233,1
2819,0
1326,1
611,2
317,3
1635,1
846,0
2040,0
2115,1
2287,1
1643,3
2870,0
1098,0
644,2
481,3
2597,2
282,2
2525,2
1325,1
2332,3
891,1
236,2
1844,3
2150,2
1997,2
369,0
712,0
2124,2
1113,0
1965,3
1289,0
787,3
1003,3
2254,3
2347,1
1331,0
1184,0
2857,2
508,3
16,3
2639,1
2063,1
922,2
1821,2
1742,1
910,0
1625,3
1623,2
2574,0
2505,0
121,2
1385,1
1943,1
2465,2
465,2
964,3
95,3
69,1
1752,1
91,1
179,1
1456,2
1641,0
2066,0
1703,3
334,0
554,0
1853,1
1217,1
1630,1
2565,3
2650,0
1647,2
2350,1
428,0
1127,1
2171,2
2719,0
2424,1
329,1
455,3
93,0
1336,2
765,3
2511,0
1968,3
1718,0
1541,2
1189,3
1720,2
1455,1
2491,2
196,1
2262,2
2696,2
2296,1
2667,0
726,1
1698,3
517,1
2534,3
1672,2
919,3
2517,2
1959,3
1887,3
2417,1
1822,2
2442,1
1866,3
1601,0
2272,0
751,0
1663,1
2661,1
1808,0
2399,1
1227,2
1241,3
1801,0
1493,2
2598,0
1260,0
201,2
323,2
1957,3
2072,1
2539,2
1016,2
685,3
2807,1
1711,3
419,2
368,0
890,1
656,3
1986,0
1333,1
2669,0
866,2
2673,3
440,2
1778,2
1281,0
973,1
460,2
2829,1
2674,0
2018,0
730,0
1482,1
968,3
66,3
115,2
2688,0
1797,0
715,3
128,2
452,0
2298,0
939,2
1640,1
1533,0
1399,0
835,2
266,1
2386,3
180,0
1514,1
678,3
2457,3
1990,1
1466,0
489,0
2107,3
880,0
1891,0
576,3
821,2
811,0
646,0
2646,0
1143,1
1598,0
359,2
550,1
345,2
1148,2
2284,2
2034,1
1390,2
2686,2
81,0
588,2
260,1
1795,1
1,3
293,2
1626,1
1416,2
2259,0
2503,1
1778,1
21,3
1014,1
189,3
1329,0
2902,0
1865,0
1657,0
445,1
1492,3
2704,1
483,0
2847,2
735,3
2321,2
700,3
2241,2
1851,3
1252,0
797,1
1720,3
1390,1
235,2
1549,2
1274,2
2920,2
1755,2
824,2
2818,0
270,3
813,0
407,3
810,2
1031,0
157,0
545,0
906,3
58,3
1532,0
1212,3
1374,1
805,0
1285,3
2245,2
966,1
2503,2
1149,0
1786,0
2357,1
1399,2
822,2
436,2
2574,3
477,3
2826,1
2559,3
1088,1
1976,3
990,2
2002,2
1638,2
2305,0
2751,2
1781,0
1088,0
623,2
638,2
261,2
1382,0
2428,3
829,1
789,1
262,1
2265,3
459,2
732,0
1027,2
2149,3
250,0
177,0
2928,2
2435,0
2291,3
2910,2
234,3
2622,3
341,2
666,3
542,3
1008,3
795,0
1191,0
230,2
927,2
363,0
2493,1
1938,1
505,2
2627,1
575,2
849,1
1228,2
1692,3
1848,1
2853,0
2105,2
1094,0
1275,2
498,3
1954,0
1301,2
546,3
599,1
2432,2
1553,1
1288,3
2324,3
1189,2
1410,2
2913,3
1984,0
1581,2
443,1
1611,0
927,0
2220,0
318,0
814,1
1089,2
2145,2
144,2
444,1
2383,3
1216,1
25,0
2456,3
528,2
1379,0
2406,2
1677,1
715,0
1685,2
2138,0
2393,0
162,1
832,3
2259,2
1606,3
2060,3
2030,3
1179,0
1520,2
2711,2
209,3
940,3
1002,2
590,1
1085,2
585,3
614,3
1373,2
458,3
2356,1
309,3
177,3
2468,2
2687,1
370,0
1158,2
2197,3
1474,2
2069,3
2570,2
1078,2
306,0
846,1
2567,3
155,0
1597,3
630,0
1855,1
2335,3
743,1
1175,1
605,0
857,0
2773,2
2494,0
2107,0
376,0
1548,2
2053,3
1090,1
801,0
2912,3
1042,0
150,1
1316,1
2274,0
1041,3
1826,2
2468,3
621,0
2418,0
962,2
961,3
2201,0
2392,0
32,0
2942,2
1919,3
241,2
1570,2
2077,2
376,2
2862,0
1374,0
2031,3
2474,2
1836,1
1654,1
2352,2
1306,1
237,3
2214,2
1599,3
871,3
1361,2
249,0
198,3
2003,3
264,0
1567,3
1459,2
970,2
1444,1
1940,3
